arrival_date,arrival_time,depart_date,depart_time,price,seats,tclass,title,scrape_date
2020-01-14,20:29,2020-01-14,17:10,170000,99,eksekutif (Subclass J),mutiara selatan 104,2020-01-12
2020-01-14,20:29,2020-01-14,17:10,170000,99,eksekutif (Subclass H),mutiara selatan 104,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,175000,99,eksekutif (Subclass A),argo parahyangan excellence 44,2020-01-12
2020-01-14,08:46,2020-01-14,05:30,290000,99,eksekutif (Subclass I),argo parahyangan priority 36P,2020-01-12
2020-01-14,12:13,2020-01-14,08:55,290000,8,eksekutif (Subclass I),argo parahyangan priority 40P,2020-01-12
2020-01-14,14:09,2020-01-14,10:45,290000,99,eksekutif (Subclass I),argo parahyangan priority 42P,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,290000,9,eksekutif (Subclass I),argo parahyangan priority 44P,2020-01-12
2020-01-14,22:08,2020-01-14,18:45,290000,9,eksekutif (Subclass I),argo parahyangan priority 48P,2020-01-12
2020-01-15,01:27,2020-01-14,22:05,290000,99,eksekutif (Subclass I),argo parahyangan priority 50P,2020-01-12
2020-01-14,10:31,2020-01-14,07:12,350000,6,eksekutif (Subclass H),argo parahyangan luxury 56L,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,,0,ekonomi (Subclass S),argo parahyangan excellence 44,2020-01-12
2020-01-14,08:46,2020-01-14,05:30,,0,ekonomi (Subclass Q),argo parahyangan 36,2020-01-12
2020-01-14,09:49,2020-01-14,06:15,,0,ekonomi (Subclass Q),argo parahyangan 38,2020-01-12
2020-01-14,12:13,2020-01-14,08:55,,0,ekonomi (Subclass Q),argo parahyangan 40,2020-01-12
2020-01-14,14:09,2020-01-14,10:45,,0,ekonomi (Subclass Q),argo parahyangan 42,2020-01-12
2020-01-14,16:33,2020-01-14,13:10,,0,ekonomi (Subclass Q),argo parahyangan 54,2020-01-12
2020-01-14,17:38,2020-01-14,14:25,,0,ekonomi (Subclass Q),argo parahyangan 68F,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,,0,ekonomi (Subclass Q),argo parahyangan excellence 44,2020-01-12
2020-01-14,20:59,2020-01-14,17:45,,0,ekonomi (Subclass Q),argo parahyangan 46,2020-01-12
2020-01-14,22:08,2020-01-14,18:45,,0,ekonomi (Subclass Q),argo parahyangan 48,2020-01-12
2020-01-15,01:27,2020-01-14,22:05,,0,ekonomi (Subclass Q),argo parahyangan 50,2020-01-12
2020-01-15,02:05,2020-01-14,22:55,,0,ekonomi (Subclass Q),argo parahyangan 52,2020-01-12
2020-01-15,02:40,2020-01-14,23:30,,0,ekonomi (Subclass Q),argo parahyangan 70F,2020-01-12
2020-01-14,08:46,2020-01-14,05:30,,0,ekonomi (Subclass P),argo parahyangan 36,2020-01-12
2020-01-14,09:49,2020-01-14,06:15,,0,ekonomi (Subclass P),argo parahyangan 38,2020-01-12
